Metric,TopK k=64,TopK k=128,TopK k=256,TopK k=512,vSAE TopK k=64,vSAE TopK k=128,vSAE TopK k=256,vSAE TopK k=512
Kl Div Score,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
Ce Loss Score,0.8824,0.9412,1.0294,1.0294,0.8529,0.8824,0.9412,1.0294
Explained Variance,0.8242,0.8633,0.9062,0.9570,0.8008,0.8516,0.9062,0.9414
Cossim,0.8398,0.8789,0.9180,0.9648,0.8203,0.8711,0.9219,0.9531
L0,64.0000,128.0000,256.0000,512.0000,64.0000,128.0000,256.0000,512.0000
Frac Alive,0.9611,0.8102,0.9344,0.9830,0.0490,0.0898,0.1810,0.3678
