Metric,TopK k=64,TopK k=128,TopK k=256,TopK k=512,vSAE TopK k=64,vSAE TopK k=128,vSAE TopK k=256,vSAE TopK k=512
Sae Test Accuracy,0.9126,0.9115,0.9100,0.9045,0.8863,0.9059,0.9104,0.9109
Accuracy Preservation,0.9998,0.9986,0.9979,0.9906,0.9710,0.9931,0.9987,0.9985
Sae Top 1 Test Accuracy,0.6476,0.6628,0.7028,0.7261,0.7002,0.6818,0.7060,0.7043
Top 1 Preservation,0.9938,1.0280,1.1045,1.1311,1.0919,1.0568,1.0955,1.0930
Sae Top 2 Test Accuracy,0.6931,0.7044,0.7432,0.7639,0.7295,0.7397,0.7487,0.7497
Top 2 Preservation,0.9673,0.9887,1.0376,1.1033,1.0207,1.0518,1.0640,1.0520
Sae Top 5 Test Accuracy,0.7446,0.7656,0.7815,0.7994,0.7795,0.7809,0.8024,0.7952
Top 5 Preservation,0.9495,0.9728,0.9938,1.0180,0.9905,0.9906,1.0189,1.0095
