Metric,TopK k=64,TopK k=128,TopK k=256,TopK k=512,vSAE TopK k=64,vSAE TopK k=128,vSAE TopK k=256,vSAE TopK k=512
Kl Div Score,0.8815,0.9158,0.9624,0.9969,0.8058,0.8825,0.9495,0.9833
Ce Loss Score,0.8722,0.9098,0.9624,0.9962,0.7970,0.8797,0.9474,0.9812
Explained Variance,0.8750,0.9023,0.9492,0.9961,0.8125,0.8789,0.9414,0.9766
Cossim,0.9336,0.9492,0.9727,0.9961,0.8945,0.9336,0.9688,0.9883
L0,64.0000,128.0000,256.0000,512.0000,64.0000,128.0000,256.0000,512.0000
Frac Alive,1.0000,1.0000,0.9849,0.9956,0.1299,0.2466,0.4927,0.8989
