Metric,TopK k=64,TopK k=128,TopK k=256,TopK k=512,vSAE TopK k=64,vSAE TopK k=128,vSAE TopK k=256,vSAE TopK k=512
Sae Test Accuracy,0.9118,0.9131,0.9107,0.9045,0.9031,0.9096,0.9128,0.9152
Accuracy Preservation,0.9980,1.0008,0.9977,0.9887,0.9876,0.9944,0.9978,1.0018
Sae Top 1 Test Accuracy,0.7056,0.7151,0.6994,0.7096,0.7219,0.7069,0.7323,0.7280
Top 1 Preservation,1.0982,1.1035,1.0833,1.1061,1.1104,1.1033,1.1328,1.1244
Sae Top 2 Test Accuracy,0.7426,0.7433,0.7357,0.7428,0.7452,0.7436,0.7633,0.7604
Top 2 Preservation,1.0380,1.0373,1.0273,1.0356,1.0405,1.0411,1.0668,1.0625
Sae Top 5 Test Accuracy,0.8003,0.7903,0.7839,0.7895,0.7941,0.7910,0.8024,0.8067
Top 5 Preservation,1.0123,0.9969,0.9902,0.9996,1.0029,0.9992,1.0145,1.0194
