Metric,TopK k=64,TopK k=128,TopK k=256,TopK k=512,vSAE TopK k=64,vSAE TopK k=128,vSAE TopK k=256,vSAE TopK k=512
Kl Div Score,0.5199,0.6693,0.7540,0.8406,-0.0996,0.3068,0.5498,0.6693
Ce Loss Score,0.5113,0.6692,0.7519,0.8421,-0.1053,0.3083,0.5414,0.6541
Explained Variance,0.2852,0.2344,-0.2578,-1.2031,0.0859,0.2539,0.4297,0.5234
Cossim,0.6211,0.7188,0.8164,0.8867,0.3320,0.5078,0.6641,0.7461
L0,64.0000,128.0000,256.0000,512.0000,64.0000,128.0000,256.0000,512.0000
Frac Alive,0.8884,0.9158,0.9731,0.9886,0.1093,0.1448,0.1952,0.2977
