Threshold,TopK k=64 Total,TopK k=64 Intended,TopK k=64 Unintended,TopK k=128 Total,TopK k=128 Intended,TopK k=128 Unintended,TopK k=256 Total,TopK k=256 Intended,TopK k=256 Unintended,TopK k=512 Total,TopK k=512 Intended,TopK k=512 Unintended,vSAE TopK k=64 Total,vSAE TopK k=64 Intended,vSAE TopK k=64 Unintended,vSAE TopK k=128 Total,vSAE TopK k=128 Intended,vSAE TopK k=128 Unintended,vSAE TopK k=256 Total,vSAE TopK k=256 Intended,vSAE TopK k=256 Unintended,vSAE TopK k=512 Total,vSAE TopK k=512 Intended,vSAE TopK k=512 Unintended
2,0.0101,0.0104,0.0003,0.0056,0.0056,-0.0000,0.0206,0.0244,0.0038,0.0239,0.0279,0.0040,0.0105,0.0110,0.0005,0.0084,0.0092,0.0008,0.0113,0.0144,0.0030,0.0103,0.0115,0.0012
5,0.0295,0.0401,0.0106,0.0259,0.0319,0.0060,0.0621,0.0686,0.0065,0.0755,0.0841,0.0086,0.0352,0.0378,0.0026,0.0380,0.0424,0.0045,0.0445,0.0517,0.0072,0.0443,0.0496,0.0053
10,0.0708,0.0924,0.0216,0.0851,0.1038,0.0187,0.1404,0.1620,0.0216,0.1950,0.2179,0.0229,0.0828,0.0934,0.0107,0.0951,0.1084,0.0133,0.0982,0.1119,0.0137,0.1022,0.1144,0.0122
20,0.1125,0.1457,0.0332,0.1600,0.2055,0.0455,0.2581,0.3031,0.0450,0.2845,0.3515,0.0670,0.1508,0.1777,0.0269,0.1739,0.1996,0.0257,0.1893,0.2212,0.0320,0.2012,0.2282,0.0270
50,0.1980,0.2754,0.0774,0.2298,0.3317,0.1020,0.2643,0.3729,0.1086,0.2153,0.3940,0.1787,0.2097,0.2519,0.0422,0.2432,0.3103,0.0671,0.2680,0.3489,0.0809,0.2717,0.3434,0.0717
100,0.2256,0.3228,0.0972,0.2238,0.3644,0.1406,0.2168,0.3917,0.1750,0.1358,0.3940,0.2582,0.2202,0.2638,0.0436,0.2480,0.3441,0.0961,0.2481,0.3749,0.1269,0.2521,0.3807,0.1286
500,0.2370,0.3741,0.1371,0.1660,0.3940,0.2280,0.1110,0.3940,0.2831,0.0257,0.3940,0.3683,0.2218,0.2660,0.0443,0.2476,0.3562,0.1086,0.2090,0.3929,0.1839,0.1572,0.3940,0.2368
