Threshold,TopK k=64,TopK k=128,TopK k=256,TopK k=512,vSAE TopK k=64,vSAE TopK k=128,vSAE TopK k=256,vSAE TopK k=512
2,-0.0008,-0.0211,-0.0200,-0.0180,0.0078,0.0243,0.0020,0.0225
5,0.0097,-0.0129,-0.0223,-0.0096,0.0054,0.0564,0.0121,0.0277
10,0.0220,0.0458,-0.0158,-0.0268,0.0036,0.0669,0.0407,0.0232
20,0.0244,0.0914,0.0432,0.0085,0.0014,0.0930,0.0747,0.0379
50,0.1074,0.1481,0.0296,-0.0196,0.0109,0.0895,0.1316,0.0563
100,0.1025,0.2105,0.2106,0.0381,-0.0008,0.0853,0.1522,0.0883
500,-0.0186,-0.1094,-0.1520,-0.3604,-0.0141,-0.0189,0.1096,0.1239
